Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


PPFAS Mutual Fund
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.3088;;;20-Sep-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.8904;;;23-Sep-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.8561;;;24-Sep-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.4824;;;25-Sep-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.5801;;;26-Sep-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.5103;;;27-Sep-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.3261;;;30-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.3626;;;01-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.4132;;;02-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.4795;;;03-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.5405;;;04-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.3638;;;05-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.0479;;;08-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.0506;;;09-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.0061;;;10-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.1901;;;11-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.1896;;;12-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.2037;;;15-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.2907;;;16-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.2634;;;17-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.1537;;;18-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.8605;;;19-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.6828;;;22-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.7477;;;23-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.6261;;;24-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.7112;;;25-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.7283;;;26-Jul-2019
